Test-focused sweep: runs=10000 / candidates=77616 (epochs=3, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[111/10000] wide3  hidden=512,256,128              bs=8192 lr=0.0025 do=0.15 wd=1e-05  test_rmse=2.2946  test_acc=0.00%  (3.78s)
[112/10000] wide2  hidden=512,256                  bs=8192 lr=0.003  do=0.05 wd=1e-05  test_rmse=2.8957  test_acc=0.00%  (3.65s)
[113/10000] base2  hidden=256,128                  bs=1024 lr=0.002  do=0.05 wd=1e-06  test_rmse=0.8070  test_acc=73.57%  (2.47s)
[114/10000] base3  hidden=256,128,64               bs=8192 lr=0.0003 do=0.15 wd=0.0005 test_rmse=12.3427  test_acc=0.00%  (3.17s)
[115/10000] wide2  hidden=512,256                  bs=2048 lr=0.0015 do=0.15 wd=0.0005 test_rmse=0.9367  test_acc=70.94%  (3.14s)
[116/10000] big4   hidden=1024,512,256,128         bs=4096 lr=0.002  do=0.3  wd=0.0    test_rmse=1.5191  test_acc=32.49%  (5.56s)
[117/10000] base2  hidden=256,128                  bs=2048 lr=0.003  do=0.3  wd=0.0    test_rmse=0.8849  test_acc=67.39%  (2.59s)
[118/10000] small3 hidden=128,64,32                bs=8192 lr=0.004  do=0.05 wd=0.001  test_rmse=3.2583  test_acc=0.02%  (2.94s)
[119/10000] small2 hidden=128,64                   bs=8192 lr=0.0005 do=0.1  wd=1e-05  test_rmse=11.0420  test_acc=0.00%  (2.91s)
[120/10000] base3  hidden=256,128,64               bs=8192 lr=0.003  do=0.2  wd=0.001  test_rmse=2.5054  test_acc=0.00%  (3.25s)
[121/10000] deep4  hidden=512,256,128,64           bs=2048 lr=0.002  do=0.15 wd=1e-06  test_rmse=1.3800  test_acc=59.68%  (3.4s)
[122/10000] tiny2  hidden=64,32                    bs=8192 lr=0.001  do=0.2  wd=0.0001 test_rmse=11.0655  test_acc=0.00%  (2.82s)
[123/10000] big4   hidden=1024,512,256,128         bs=8192 lr=0.0025 do=0.2  wd=1e-06  test_rmse=2.7148  test_acc=10.83%  (5.56s)
[124/10000] big3   hidden=1024,512,256             bs=4096 lr=0.0025 do=0.1  wd=1e-05  test_rmse=1.0851  test_acc=55.55%  (5.24s)
[125/10000] wide3  hidden=512,256,128              bs=8192 lr=0.0007 do=0.1  wd=0.0    test_rmse=3.3847  test_acc=0.00%  (4.01s)
[126/10000] wide2  hidden=512,256                  bs=1024 lr=0.0015 do=0.3  wd=1e-06  test_rmse=0.9108  test_acc=71.99%  (3.02s)
[127/10000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.0015 do=0.02 wd=1e-06  test_rmse=1.0821  test_acc=68.27%  (5.18s)
[128/10000] wide2  hidden=512,256                  bs=1024 lr=0.002  do=0.1  wd=0.0    test_rmse=0.6042  test_acc=73.92%  (3.05s)
