Test-focused sweep: runs=1000 / candidates=10080 (epochs=10, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[145/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.003  do=0.0  wd=1e-06  test_rmse=0.5647  test_acc=74.34% (last=74.34%)  (18.09s)
[146/1000] wide3  hidden=1024,1024,512            bs=8192 lr=0.002  do=0.2  wd=0.0    test_rmse=0.5305  test_acc=74.73% (last=74.73%)  (25.75s)
[147/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.002  do=0.2  wd=0.0005 test_rmse=0.4078  test_acc=77.84% (last=77.84%)  (41.51s)
[148/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.003  do=0.1  wd=1e-06  test_rmse=0.5849  test_acc=73.63% (last=67.42%)  (20.94s)
[149/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.001  do=0.0  wd=1e-05  test_rmse=0.5337  test_acc=76.57% (last=76.57%)  (19.36s)
[150/1000] big4   hidden=1024,512,256,128         bs=2048 lr=0.002  do=0.0  wd=1e-06  test_rmse=0.4282  test_acc=77.67% (last=77.67%)  (18.0s)
[151/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.0015 do=0.2  wd=0.0005 test_rmse=0.5381  test_acc=73.45% (last=60.26%)  (21.93s)
[152/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.0015 do=0.0  wd=0.0001 test_rmse=0.4610  test_acc=77.31% (last=77.31%)  (29.38s)
[153/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.004  do=0.2  wd=1e-05  test_rmse=0.4587  test_acc=75.70% (last=75.70%)  (21.16s)
[154/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.002  do=0.05 wd=1e-05  test_rmse=0.3937  test_acc=78.16% (last=77.69%)  (45.05s)
[155/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.004  do=0.2  wd=0.0    test_rmse=0.5392  test_acc=74.95% (last=74.95%)  (15.15s)
[156/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.0015 do=0.0  wd=0.0005 test_rmse=0.9248  test_acc=68.75% (last=68.75%)  (17.17s)
[157/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.0015 do=0.05 wd=0.0001 test_rmse=0.4981  test_acc=76.13% (last=76.13%)  (27.39s)
[158/1000] huge4  hidden=2048,1024,512,256        bs=2048 lr=0.002  do=0.0  wd=0.001  test_rmse=0.4057  test_acc=78.42% (last=78.42%)  (33.57s)
[159/1000] huge3  hidden=2048,1024,512            bs=1024 lr=0.003  do=0.2  wd=0.0001 test_rmse=0.4152  test_acc=74.92% (last=75.22%)  (42.89s)
